entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
155,11312_6620,76,2983,51.74589920043945,19.39834976196289,3077,Armii Krajowej-Batalionów Chłopskich,24,2,autobus,1764788360,51.74252,19.40092
156,11312_5374,69A,2993,51.75141906738281,19.521099090576172,1062,Przybyszewskiego-Lodowa,40,0,autobus,1764788362,51.75184,19.52215
157,11312_6347,75A,2997,51.71887969970703,19.49530029296875,3058,Sternfelda-Powszechna,29,2,autobus,1764788360,51.71804,19.49553
158,11312_1271,16,4001,51.73183059692383,19.452579498291016,878,Pabianicka-Wólczańska,26,2,tramwaj,1764788362,51.73666,19.45959
159,11312_1348,17,4005,0.0,0.0,997,Politechniki-Skrzywana,22,2,tramwaj,1764788362,51.7393,19.45231
160,11312_1604,18,4007,0.0,0.0,1457,Retkinia,27,2,tramwaj,1764788358,51.74211,19.38443
161,11312_4143,6,4053,51.75959014892578,19.456729888916016,2777,Piotrkowska Centrum,13,1,tramwaj,1764788350,51.7593,19.45653
162,11312_40,1,4056,51.73503875732422,19.478729248046875,378,Kilińskiego-Dąbrowskiego,3,2,tramwaj,1764788364,51.73939,19.47875
163,11312_1836,2,4058,51.760040283203125,19.4555606842041,2778,Piotrkowska Centrum,22,2,tramwaj,1764788356,51.75916,19.45762
164,11312_2146,3,4059,51.74945068359375,19.503379821777344,1079,Przybyszewskiego-Zapadła,5,2,tramwaj,1764788356,51.74888,19.49989
165,11312_2859,5,4060,51.79124069213867,19.42486000061035,585,Limanowskiego-Mokra,8,2,tramwaj,1764788358,51.79121,19.425
166,11312_1407,17,4202,51.77745056152344,19.461339950561523,1003,Pomorska-Kilińskiego,24,1,tramwaj,1764788358,51.77734,19.46144
167,11312_8758,9,4207,51.73453140258789,19.574750900268555,2800,OLECHÓW,22,2,tramwaj,1764788364,51.73359,19.57566
168,11312_8813,9,4209,51.77193832397461,19.47007942199707,769,Narutowicza-pl. Dąbrowskiego,21,1,tramwaj,1764788358,51.77194,19.46998
169,11312_1080,15,4213,51.77825927734375,19.489089965820312,1007,Pomorska-Tamka,28,1,tramwaj,1764788356,51.77814,19.48908
170,11312_7106,8,4246,51.7635612487793,19.521699905395508,943,Rokicińska-Maszynowa,26,2,tramwaj,1764788350,51.7624,19.52778
171,11312_7209,8,4251,51.792449951171875,19.4189395904541,583,Limanowskiego-Pułaskiego,7,2,tramwaj,1764788364,51.79249,19.41879
172,11312_1900,2,4254,51.73851013183594,19.478660583496094,147,Dąbrowskiego-Kilińskiego,30,2,tramwaj,1764788354,51.73831,19.48002
173,11312_1568,18,4264,51.748008728027344,19.40542984008789,1460,Wyszyńskiego-Retkińska,4,1,tramwaj,1764788356,51.74803,19.40564
174,11312_6961,8,4275,51.7576904296875,19.43376922607422,508,Włókniarzy-Karolewska (Dw. Ł. Kaliska),21,2,tramwaj,1764788354,51.75825,19.4335
175,11312_2631,45,4448,51.79719161987305,19.444570541381836,1505,Zgierska-Julianowska,17,1,tramwaj,1764788364,51.79714,19.44461
176,11312_7161,8,4455,51.7559814453125,19.43808937072754,509,Mickiewicza-Żeromskiego,15,2,tramwaj,1764788354,51.75805,19.44924
177,11312_2229,4,4507,51.7364387512207,19.50075912475586,156,Dąbrowskiego-Podhalańska,35,2,tramwaj,1764788360,51.73624,19.50306
178,11312_1030,15,4536,51.776058197021484,19.44763946533203,286,Gdańska-1 Maja,18,2,tramwaj,1764788362,51.77332,19.44814
179,11312_8786,9,4559,51.762168884277344,19.493099212646484,938,Piłsudskiego-Konstytucyjna (Wi-Ma),8,2,tramwaj,1764788362,51.7629,19.50223
180,11312_1234,16,4565,51.736778259277344,19.459699630737305,182,Pabianicka-Wólczańska,3,0,tramwaj,1764788356,51.73599,19.45877
181,11312_1047,15,4571,51.77764129638672,19.49428939819336,1026,Pomorska-Tamka,9,2,tramwaj,1764788362,51.77816,19.49027
182,11312_416,10B,4578,51.74251174926758,19.38372039794922,1457,Retkinia,33,2,tramwaj,1764788360,51.74211,19.38443
183,11312_757,12,4579,51.78327178955078,19.519939422607422,1316,Telefoniczna-Weselna,28,1,tramwaj,1764788356,51.78318,19.51986
184,11312_453,10B,4581,51.762451171875,19.527860641479492,943,Rokicińska-Maszynowa,21,1,tramwaj,1764788360,51.7624,19.52778
185,11312_797,12,4583,51.75878143310547,19.452789306640625,543,Piotrkowska Centrum,11,2,tramwaj,1764788354,51.75924,19.45762
186,11312_186,10A,4587,51.74747085571289,19.413419723510742,1461,Wyszyńskiego-os. Piaski,5,1,tramwaj,1764788350,51.74749,19.41334
187,11312_280,10B,4588,51.75905990600586,19.456249237060547,543,Piotrkowska Centrum,11,2,tramwaj,1764788354,51.75924,19.45762
188,11312_167,10A,4589,51.74637985229492,19.39876937866211,1470,Wyszyńskiego-blok 270,24,2,tramwaj,1764788354,51.74447,19.39206
189,11312_704,12,4593,51.7722282409668,19.473590850830078,769,Narutowicza-pl. Dąbrowskiego,12,2,tramwaj,1764788352,51.77194,19.46998
